lyrics,title
"Well oh they might wear classic Reeboks
Or knackered Converse
Or tracky bottoms tucked in socks
But all of that's what the point is not
The point is that there ain't no romance around there

And there's the truth that they can't see
They'd probably like to throw a punch at me
And if you could only see them, then you would agree
Agree that there ain't no romance around there

You know, oh, it's a funny thing, you know?
We'll tell them if you like
We'll tell them all tonight
They'll never listen
Because their minds are made up
And course it's all OK to carry on that way

'Cause over there there's broken bones
There's only music, so that there's new ringtones
And it don't take no Sherlock Holmes
To see it's a little different around here

Don't get me wrong though there's boys in bands
And kids who like to scrap with pool cues in their hands
And just 'cause he's had a couple of cans
He thinks it's alright to act like a dickhead

Don't you know, oh it's a funny thing you know
We'll tell them if you like
We'll tell them all tonight
They'll never listen
'Cause their minds are made up
And course is all OK to carry on that way
But I said no, oh no!
Well oh, you won't get me to go
Not anywhere, not anywhere
No, I won't go, oh no, no?

But over there there's friends of mine
What can I say, I've known them for a long long time
And yet they might overstep the line
But you just cannot get angry in the same way
No, not in the same way
No not in the same way
Oh no, oh no, no!",A Certain Romance
"There's always somebody taller with more of a wit
And he's equipped to enthrall her and her friends think he’s fit
And you just can't measure up though, you don't have a prayer
Wishing that you'd made the most of her when she was there

They've got engaged there's no intention of a wedding
He's pinched your bird and he'd probably kick your head in

Bigger boys and stolen sweethearts
Oh, you’re better off without her anyway
You said you wasn't sad to see her go
Yeah, but I know you were though

Now you don't know what she's up to you can only assume
If she's not in the front of the shops then they've gone to his room
Bet she's gone 'round in her school stuff, bet that’s what he likes
I know you thought she were different and you thought she were nice

But she's not nice, she's pretty fucking far from nice
She’s looking at you funny rarely looking at you twice

Bigger boys and stolen sweethearts
Oh, you’re better off without her anyway
You said you wasn't sad to see her go
Yeah, but it's so clear you were though

Have you heard what she has been doing? Never did it for me
He picks her up at the school gate at twenty past three
She’s been with all of the boys but, never went very far
And she wagged English and science just to go in his car

They've got engaged there's no intention of a wedding
He's pinched me bird and he'd probably kick my head in
Oh now the girls have grown
Yeah but I'm sure that they still carry on in similar ways

Bigger boys and stolen sweethearts
Oh, I'm better off without her anyway
I said I wasn't sad to see her go
Yeah, but I'm only pretending, you know
Yeah, I'm only pretending, you know
I was only pretending, you know
I was only pretending, you know",Bigger Boys And Stolen Sweethearts
"My baby wants to drive the train
But don't you let her, don't you let her touch the tracks
I said my baby wants to drive the train
Well all aboard yeah, and don't forget to mind the gap
Don't you let her, don't you know
She's sick and tired of
Being in the background, the passenger
Let her drive the train, oh!

Choo Choo!
Why don't you let her drive the train?
Choo Choo!
Why don't you let her drive the train, yeah

She's setting off from platform four
Make your way down, we'll shut the door bout quarter to five
I said she's setting off from platform four
And they've decided that they're gonna let her drive

Don't you let her, don't you know
She's sick and tired of
Being in the background, the passenger
Let her drive the train, oh!

Choo Choo!
Why don't you let her drive the train, oh...
Choo Choo!
Why don't you let her drive my train, yeah

Choo Choo!
Choo Choo!
Choo Choo!
Choo Choo!",Choo Choo
"Get out the way, mister
With your short sharp tips
No, I won't read your lips right now
And baby, hey
You send a shiver down my spine
But do you read my mind
Do you...
And you're looking pretty suspicious
And probably planning a heist
He's wanting to go to the strippers
It makes him feel all nice

(Cigarette smoke yeah)
The cigarette smoke in your eyes
Watching a stripper and
(Smacking a bloke yeah)
Smacking a bloke here tonight

Get out the way, mister
With your short sharp tips
No, I won't read your lips right now
And baby, hey
You send a shiver down my spine
But do you read my mind
Do you...

He's prob'ly got stopped by a panda
For speeding on his way there
...flashing of digital cameras
From tourists in trafalgar square

(Cigarette smoke yeah)
The cigarette smoke in your eyes
Watching a stripper and
(Snortin' some coke yeah)
Snortin' some coke off her thighs
Bla-bla-bla-bla-bla-bla...

(Cigarette smoke yeah)
The cigarette smoke in your eyes
Watching a stripper and
(Smacking a bloke yeah)
Smacking a bloke here tonight
And I just can't see for the
(Cigarette smoke yeah)
The cigarette smoke in your eyes
Watching a stripper and
(Snortin' some coke yeah)
Snortin' some coke off her thighs
Lalalalalala laaaaaaaoooo
Oww",Cigarette Smoke
"Get on your dancing shoes
There's one thing on your mind
Hoping they're looking for you
Sure you'll be rummaging' through

And the shit, shock, horror
You've seen your future bride
Oh, but it's oh so absurd
For you to say the first word
So you're waiting and waiting

The only reason that you came
So what you scared for?
don't you always do the same
It's what you there for, don't you know

...the lights are flashing
Down in here tonight
And some might exchange a glance
But keep pretending to dance

Don't act like it's not happening
As if it's impolite
To go and mention your name
Instead you'll just do the same
As they all do, and hope for the best...

The only reason that you came
So what you scared for?
Well don't you always do the same
It's what you're there for but no

Get on your dancing shoes
You sexy little swine
Hoping they're looking for you
Sure you'll be rummaging through

Oh and the shit, shock, horror
You've seen your future bride
Oh, but it's oh so absurd
For you to say the first word
So you're waiting and waiting",Dancing Shoes
"Fake Tales of San Francisco
Echo through the room
More point to a wedding disco
Without a bride or groom

There's a super cool band yeah
With their trilbies and their glasses of white wine
And all the weekend rock stars in the toilets
Practicing their lines

I don't want to hear you
(Kick me out, kick me out)
I don't want to hear you no
(Kick me out, kick me out)
I don't want to hear you no
(Kick me out, kick me out)
I don't want to hear you
I don't want to hear you

Fake Tales of San Francisco
Echo through the air
And there's a few bored faces in the back
All wishing they weren't there

And as the microphone squeaks
A young girl's telephone beeps
Yeah she's dashing for the exit
Oh, she's running to the streets outside
""Oh you've saved me,"" she screams down the line
""The band were fucking wank
And I'm not having a nice time""

I don't want to hear you
(Kick me out, kick me out)
I don't want to hear you no
(Kick me out, kick me out)
Yeah but his bird thinks it's amazing, though
So all that's left
Is the proof that love's not only blind but deaf

He talks of San Francisco, he's from Hunter's Bar
I don't quite know the distance
But I'm sure that's far
Yeah, I'm sure that's pretty far

Yeah, I'd love to tell you all my problem
You're not from New York City, you're from Rotherham
So get off the bandwagon, and put down the handbook
Yeah, yeah, yeah, yeah, yeah.

[x4]
Get off the bandwagon and put down the handbook",Fake Tales Of San Francisco
"Watch me... watch me go
Well I'm struttin' up ever so slow
And now sting me... get in the groove
Cause they're bangin' on the door
Yes they're hard and they'll make a move

We're wakin' up those sleepers
You know we're so mischievous
Just what you'll do to keep us entertained
We're wakin' up those sleepers
You know we're so mischievous
Just what you'll do to keep us entertained

(Knock, run)
She's got you up and she's run, run, runnin' away
(Knock, run)
You're knockin' first if you think that you're comin' to play

And I don't mind
Cause all the time you're talkin' at me
No I don't mind at all

Oh well cap-guns and polystyrene planes
Well I'm buyin' penny bubblies with my change
Cause sting me... get in the groove
Cause they're bangin' on the door
Yes they're hard and they'll make a move

We're wakin' up those sleepers
You know we're so mischievous
Just what you'll do to keep us entertained
Oh well now she says she's goin'
That she's got the towel to throw in
Was just about to blow him and run away!

(Knock, run)
She's got you up and she's run, run, runnin' away
(Knock, run)
You're knockin' first if you think that you're comin' to play

And I don't mind
Cause all the time you're talkin' at me
Well I don't mind at all... no",Knock A Door Run
"Well now then Mardy Bum
I've seen your frown
And it's like looking down the barrel of a gun
And it goes off
And out come all these words
Oh there's a very pleasant side to you
A side I much prefer

It's one that laughs and jokes around
Remember cuddles in the kitchen
Yeah, to get things off the ground
And it was up, up and away
Oh, but it's right hard to remember
That on a day like today when you're all argumentative
And you've got the face on

Well now then Mardy Bum
Oh I'm in trouble again, aren't I?
I thought as much
Cause you turned over there
Pulling that silent disappointment face
The one that I can't bear

Well can't we just laugh and joke around
Remember cuddles in the kitchen
Yeah, to get things off the ground
And it was up, up and away
Oh, but it's right hard to remember
That on a day like today when you're all argumentative
And you've got the face on

And yeah I'm sorry I was late
But I missed the train
And then the traffic was a state
And I can't be arsed to carry on in this debate that reoccurs,
Oh, when you say I don't care
But of course I do, yeah, I clearly do!

So laugh and joke around
Remember cuddles in the kitchen
Yeah, to get things off the ground
And it was up, up and away
Oh, but it's right hard to remember
That on a day like today when you're all argumentative
And you've got the face on",Mardy Bum
"Come and take a leaf out of my book
I'm a crack dealing crook
Selling lots of rock and roll to the masses
And I know if you wanna take a trip to the city
We can go (to Gibraltar)
We can go (to Gibraltar)

Let's go, let's go, let's go, come on
Come on, come on, come on, come on
Let's go, let's go, let's go, come on

Give me your switch card - I'll book some flights

1996 And I'm stuck at the bottom of a truck
Got the road right in my..., got detectives
And I'll say if you catch me that I really wish
That I had stayed (in Gibraltar)
That I had stayed (in Gibraltar)

Let's go, let's go, let's go, come on
Come on, come on, come on, come on
Let's go, let's go, let's go, come on

Give me your switch card - I'll book some flights",On The Run From The MI5
"We got thrown in a riot van
And the coppers kicked him in
And there was no way he could win
Just had to take it on the chin

Smoked a bong a last night
And stole somebody's telephone
He thinks it's all alright
But they've left him on his own, on his own

But baby stop calling
Over and over yeah
And give me some funny cigarettes
And do what they told you, yeah

Pinched a car with one headlight
And lost control the passengers were screaming
Made him shut his eyes right tight
And think of you, and hope that he was dreaming

Then up rolled the riot van
And called the fire brigade
But it was already too late
And there was no arrests to make
Ohhhhh!

But baby stop calling
Over and over yeah
And give me some funny cigarettes
And do what they told you, yeah",Riot Van (Demo)
